Configuration,Cache_Line_Size,L1I_Size,L1I_Assoc,L1D_Size,L1D_Assoc,L2_Size,L2_Assoc,sim_seconds,CPI,L1D_Miss_Rate,L1I_Miss_Rate,L2_Miss_Rate,sim_insts
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da2_l21MB_l2a4,128,128kB,2,128kB,2,1MB,4,0.019876,1.987646,0.030477,0.000826,0.999558,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da2_l21MB_l2a8,128,128kB,2,128kB,2,1MB,8,0.019876,1.987642,0.030477,0.000826,0.999558,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da2_l2256kB_l2a4,128,128kB,2,128kB,2,256kB,4,0.020047,2.004680,0.030477,0.000826,0.999558,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da2_l2256kB_l2a8,128,128kB,2,128kB,2,256kB,8,0.020039,2.003925,0.030477,0.000826,0.999558,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da2_l22MB_l2a4,128,128kB,2,128kB,2,2MB,4,0.019812,1.981237,0.030477,0.000826,0.999558,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da2_l22MB_l2a8,128,128kB,2,128kB,2,2MB,8,0.019812,1.981237,0.030477,0.000826,0.999558,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da2_l2512kB_l2a4,128,128kB,2,128kB,2,512kB,4,0.019908,1.990760,0.030477,0.000826,0.999558,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da2_l2512kB_l2a8,128,128kB,2,128kB,2,512kB,8,0.019908,1.990760,0.030477,0.000826,0.999558,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da4_l21MB_l2a4,128,128kB,2,128kB,4,1MB,4,0.019876,1.987646,0.030477,0.000826,0.999572,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da4_l21MB_l2a8,128,128kB,2,128kB,4,1MB,8,0.019876,1.987642,0.030477,0.000826,0.999572,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da4_l2256kB_l2a4,128,128kB,2,128kB,4,256kB,4,0.020047,2.004680,0.030477,0.000826,0.999572,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da4_l2256kB_l2a8,128,128kB,2,128kB,4,256kB,8,0.020047,2.004680,0.030477,0.000826,0.999572,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da4_l22MB_l2a4,128,128kB,2,128kB,4,2MB,4,0.019812,1.981237,0.030477,0.000826,0.999572,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da4_l22MB_l2a8,128,128kB,2,128kB,4,2MB,8,0.019812,1.981237,0.030477,0.000826,0.999572,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da4_l2512kB_l2a4,128,128kB,2,128kB,4,512kB,4,0.019908,1.990760,0.030477,0.000826,0.999572,10000000
speclibm_cl128_l1i128kB_l1ia2_l1d128kB_l1da4_l2512kB_l2a8,128,128kB,2,128kB,4,512kB,8,0.019908,1.990760,0.030477,0.000826,0.999572,10000000
